id,number,title,state,author,created_at,updated_at,closed_at,merged_at,merged_by,comments_count,review_comments_count,commits_count,additions,deletions
2343779132,12313,mmdet support musa backend,open,sunyanguomt,2025-02-19T06:51:08Z,2025-02-26T01:54:32Z,,,,0,0,0,0,0
841839817,7125,Automatic validation of your citation metadata,open,abelsiqueira,2022-02-07T15:07:17Z,2025-02-19T06:59:37Z,,,,0,0,0,0,0
930219625,7924,Replace markdownlint with mdformat to avoid installing ruby,open,zhouzaida,2022-05-07T06:30:28Z,2025-02-19T06:59:10Z,,,,0,0,0,0,0
930952611,7945,Static GridAssigner,open,HuDi2018,2022-05-09T09:47:41Z,2025-02-19T06:59:07Z,,,,0,0,0,0,0
950747495,8090,Fix warning with torch.meshgrid,open,pallgeuer,2022-05-30T09:33:19Z,2025-02-19T06:59:00Z,,,,0,0,0,0,0
958901454,8142,[Fix] Use torch.initial_seed to guarantee the randomness of numpy,open,jbwang1997,2022-06-06T09:52:57Z,2025-02-19T06:58:53Z,,,,0,0,0,0,0
990148646,8323,[Fix]: Fix WandbLogger Hang Error for distributed training.,open,zimoqingfeng,2022-07-07T12:24:10Z,2025-02-19T06:58:50Z,,,,0,0,0,0,0
1017075833,8491,[WIP] Add Mask2Former swin-b swin-l config files for instance segmentation,open,chhluo,2022-08-04T05:50:09Z,2025-02-19T06:58:44Z,,,,0,0,0,0,0
1018447164,8508,[WIP] Fix wider face,open,chhluo,2022-08-05T09:14:50Z,2025-02-19T06:58:37Z,,,,0,0,0,0,0
2324292664,12304,Make MMCV and MMEngine Upper Version Bound Inclusive,closed,anglesideangle,2025-02-09T03:27:12Z,2025-02-09T03:49:04Z,2025-02-09T03:48:56Z,,,0,0,0,0,0
2311510026,12300,Initial setup,closed,AnimeshMaheshwari22,2025-02-03T00:40:37Z,2025-02-03T00:55:02Z,2025-02-03T00:55:02Z,,,0,0,0,0,0
2279691546,12296,Update inference.md,open,AgustinRoca,2025-01-15T17:11:21Z,2025-01-15T17:13:30Z,,,,0,0,0,0,0
2277122718,12293,Support val and test dataset,closed,chatzianagnostis,2025-01-14T15:47:50Z,2025-01-15T07:05:41Z,2025-01-15T07:05:38Z,,,0,0,0,0,0
2277005561,12292, Add Support for Validation and Test Datasets in tools/analysis_tools/browse_dataset.py Script,closed,chatzianagnostis,2025-01-14T15:06:33Z,2025-01-14T16:21:58Z,2025-01-14T16:09:48Z,,,0,0,0,0,0
2268376904,12288,Update coco.py,open,hossinasaadi,2025-01-09T13:12:30Z,2025-01-09T13:29:28Z,,,,0,0,0,0,0
2259949888,12283,修复filter_scores_and_topk,open,jiangfeizi,2025-01-04T01:43:02Z,2025-01-04T01:50:33Z,,,,0,0,0,0,0
2240406536,12273,Validated training config #86b35mu8a,closed,aponamarev,2024-12-17T18:52:41Z,2024-12-18T18:19:38Z,2024-12-17T18:53:48Z,,,0,0,0,0,0
1177654539,9533,Replace numpy transpose with torch permute to speed-up,closed,Min-Sheng,2022-12-26T09:40:05Z,2024-12-14T04:18:57Z,2023-01-04T15:52:33Z,2023-01-04T15:52:33Z,,0,0,0,0,0
885671396,7493,[Feature]: Benchmark of applying ViT to Mask-RCNN,open,YuanLiuuuuuu,2022-03-22T06:57:30Z,2024-12-11T09:24:04Z,,,,0,0,0,0,0
2219359875,12066,[bug-fix] fixed docker build error for `Hash Sum mismatch`,open,Jun0922,2024-12-06T07:30:11Z,2024-12-06T07:32:21Z,,,,0,0,0,0,0
2028701804,11916,Add New Data Augmentation Technique: OA-Mix,open,dazory,2024-08-21T01:37:30Z,2024-11-26T00:12:27Z,,,,0,0,0,0,0
